#name	label	class	CHG	CpG5	CpG3	maxExpr	nSamples	WGA	allData	noExpr	noMeth	noWGA
Sb03g032940	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb03g032910	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032920	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032900	synteny	high	1	1	1	5	12	0.995132	functional	functional	functional	functional
Sb03g032880	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb03g032890	synteny	high	1	1	1	1	0	0.949209	functional	functional	functional	functional
Sb03g032860	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032850	synteny	high	1	0	0.43	2	0	1	functional	non	functional	functional
Sb03g032840	synteny	high	1	1	0	4	3	1	functional	functional	functional	functional
Sb03g032830	synteny	high	0.928228	1	1	3	2	0.929338	functional	functional	functional	functional
Sb03g032820	synteny	high	1	1	0	3	4	0.989552	functional	functional	functional	functional
Sb03g032810	synteny	high	1	1	1	3	7	1	functional	functional	functional	functional
Sb03g032800	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032795	synteny	high	1	1	1	4	6	1	functional	functional	functional	functional
Sb03g032770	synteny	high	1	1	0	3	3	1	functional	functional	functional	functional
Sb03g032780	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g032760	synteny	high	1	0	1	3	6	1	functional	functional	functional	functional
Sb03g032750	synteny	high	1	1	0	4	12	1	functional	functional	functional	functional
Sb03g032740	synteny	high	1	1	0.42	1	0	0	functional	functional	functional	functional
Sb03g032730	synteny	high	1	1	1	5	2	1	functional	functional	functional	functional
Sb03g032720	synteny	high	0.919236	1	1	4	5	1	functional	functional	functional	functional
Sb03g032700	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032710	synteny	high	1	1	1	5	5	0.966942	functional	functional	functional	functional
Sb03g032690	synteny	high	1	1	1	3	11	0.679581	functional	functional	functional	functional
Sb03g032680	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032670	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb03g032650	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032660	synteny	high	1	1	1	4	7	0.932358	functional	functional	functional	functional
Sb03g032640	synteny	high	1	1	1	1	0	0.998649	functional	functional	functional	functional
Sb03g032630	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032610	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb03g032620	synteny	high	1	1	1	3	7	0.974378	functional	functional	functional	functional
Sb03g032605	synteny	high	1	1	1	5	1	1	functional	functional	functional	functional
Sb03g032600	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032590	synteny	high	1	1	0.87	3	4	0.935907	functional	functional	functional	functional
Sb03g032580	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g032570	synteny	high	1	1	1	5	4	0.986667	functional	functional	functional	functional
Sb03g032560	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032550	synteny	high	1	1	0.77	3	8	0.999393	functional	functional	functional	functional
Sb03g032510	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032520	synteny	high	1	1	1	2	0	0.989761	functional	functional	functional	functional
Sb03g032530	synteny	high	1	0.15	1	4	12	1	non	non	functional	non
Sb03g032540	synteny	high	1	1	0	4	12	1	functional	functional	functional	functional
Sb03g032480	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032500	synteny	high	1	1	1	3	1	0.985765	functional	functional	functional	functional
Sb03g032440	synteny	high	1	1	1	3	7	1	functional	functional	functional	functional
Sb03g032450	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032460	synteny	high	1	1	1	4	1	1	functional	functional	functional	functional
Sb03g032470	synteny	high	1	1	1	4	4	1	functional	functional	functional	functional
Sb03g032430	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032390	synteny	high	1	0	0	3	1	1	functional	functional	functional	functional
Sb03g032400	synteny	high	1	1	0	5	8	1	functional	functional	functional	functional
Sb03g032410	synteny	high	1	1	1	5	8	1	functional	functional	functional	functional
Sb03g032420	synteny	high	0.988741	1	0.13	2	0	0.976459	functional	functional	functional	functional
Sb03g032370	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032380	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g032365	synteny	high	1	1	1	1	0	0.85347	functional	functional	functional	functional
Sb03g032340	synteny	high	1	1	1	3	7	1	functional	functional	functional	functional
Sb03g032360	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032330	synteny	high	1	1	1	2	0	0.999652	functional	functional	functional	functional
Sb03g032300	synteny	high	1	1	1	4	1	1	functional	functional	functional	functional
Sb03g032310	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032290	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g032270	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g032280	synteny	high	1	1	1	5	9	1	functional	functional	non	functional
Sb03g032260	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g032250	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g032255	synteny	high	1	1	1	4	1	0.713523	functional	functional	functional	functional
Sb03g032240	synteny	high	1	1	1	2	0	0.959426	functional	functional	functional	functional
Sb03g032235	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g032230	synteny	high	1	1	1	2	0	0.938838	functional	functional	functional	functional
Sb03g032220	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g032210	synteny	high	1	1	1	2	0	0	functional	functional	functional	functional
Sb03g032200	synteny	high	1	0	1	2	0	1	functional	functional	functional	functional
Sb03g032190	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb03g032180	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g032160	synteny	high	1	1	1	4	7	1	functional	functional	functional	functional
Sb03g032150	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032140	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g032130	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g032110	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g032090	synteny	high	1	1	0	3	3	1	functional	functional	functional	functional
Sb03g032080	synteny	high	1	1	1	4	8	1	functional	functional	functional	functional
Sb03g032070	synteny	high	1	1	0.42	4	12	1	functional	functional	functional	functional
Sb03g032050	synteny	high	1	1	1	3	4	0.970523	functional	functional	functional	functional
Sb03g032030	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb03g032020	synteny	high	1	1	0	1	0	1	functional	functional	functional	functional
Sb03g032005	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g032010	synteny	high	1	1	0	2	0	1	functional	functional	functional	functional
Sb03g032000	synteny	high	1	1	0	2	0	1	functional	functional	functional	functional
Sb03g031990	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g031980	synteny	high	1	0.68	0	3	5	1	functional	functional	functional	functional
Sb03g031975	synteny	high	1	0	1	3	2	1	functional	functional	functional	functional
Sb03g031970	synteny	high	1	1	0.54	4	1	0.978434	functional	functional	functional	functional
Sb03g031950	synteny	high	1	1	1	5	11	0.954674	functional	functional	functional	functional
Sb03g031940	synteny	high	1	1	1	5	8	1	functional	functional	functional	functional
Sb03g031930	synteny	high	1	1	0.69	4	7	0.983583	functional	functional	functional	functional
Sb03g031920	synteny	high	0.81833	0	0.31	2	0	0.94588	functional	functional	functional	functional
Sb03g031915	synteny	high	1	1	0	2	0	0.861079	functional	functional	functional	functional
Sb03g031910	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031895	synteny	high	0.763204	0	1	1	0	1	functional	functional	functional	functional
Sb03g031890	synteny	high	1	1	1	3	4	0.917094	functional	functional	functional	functional
Sb03g031880	synteny	high	1	1	0	4	11	1	functional	functional	functional	functional
Sb03g031860	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g031830	synteny	high	1	1	1	3	9	0.936008	functional	functional	functional	functional
Sb03g031840	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031850	synteny	high	1	0.87	1	2	0	0.941634	functional	functional	functional	functional
Sb03g031820	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031810	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb03g031800	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g031775	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031780	synteny	high	1	1	0.88	2	0	1	functional	functional	functional	functional
Sb03g031790	synteny	high	1	1	1	3	1	0.941725	functional	functional	functional	functional
Sb03g031760	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g031750	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g031740	synteny	high	1	0.69	1	3	7	1	functional	functional	functional	functional
Sb03g031720	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031730	synteny	high	1	1	0	3	2	1	functional	functional	functional	functional
Sb03g031716	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031710	synteny	high	1	1	1	1	0	0.979354	functional	functional	functional	functional
Sb03g031700	synteny	high	0.450533	1	0	2	0	0.00101471	functional	functional	functional	functional
Sb03g031685	synteny	high	1	1	1	1	0	0.506787	functional	functional	functional	functional
Sb03g031690	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031670	synteny	high	0.764815	1	1	2	0	0.894907	functional	functional	functional	functional
Sb03g031680	synteny	high	0.625451	1	0	2	0	1	functional	functional	functional	functional
Sb03g031655	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031660	synteny	high	0.720217	1	0	1	0	0.720217	functional	functional	functional	functional
Sb03g031650	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031640	synteny	high	1	1	1	4	8	1	functional	functional	functional	functional
Sb03g031620	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g031630	synteny	high	1	1	1	3	12	1	functional	functional	functional	functional
Sb03g031610	synteny	high	1	0	1	4	12	1	functional	functional	functional	functional
Sb03g031600	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031590	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031570	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031560	synteny	high	1	1	0.59	4	10	1	functional	functional	functional	functional
Sb03g031550	synteny	high	0.956326	0	1	4	10	0.971089	functional	functional	functional	functional
Sb03g031540	synteny	high	1	1	1	3	2	0.888889	functional	functional	functional	functional
Sb03g031530	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g031500	synteny	high	1	1	1	5	12	0.959868	functional	functional	functional	functional
Sb03g031510	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031520	synteny	high	1	1	1	5	12	0.93617	functional	functional	functional	functional
Sb03g031490	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031480	synteny	high	1	1	1	4	3	1	functional	functional	functional	functional
Sb03g031470	synteny	high	1	1	0.33	5	12	1	functional	functional	functional	functional
Sb03g031460	synteny	high	1	1	0	3	2	1	functional	functional	functional	functional
Sb03g031440	synteny	high	1	0	1	4	10	1	functional	functional	functional	functional
Sb03g031450	synteny	high	1	0	0	3	2	0.783471	functional	functional	functional	functional
Sb03g031420	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g031430	synteny	high	0.979204	1	1	2	0	1	functional	functional	functional	functional
Sb03g031380	synteny	high	1	1	1	5	12	0.960926	functional	functional	functional	functional
Sb03g031390	synteny	high	1	1	1	2	0	0.96473	functional	functional	functional	functional
Sb03g031370	synteny	high	1	1	1	3	7	0.899393	functional	functional	functional	functional
Sb03g031360	synteny	high	1	1	1	3	11	0.974919	functional	functional	functional	functional
Sb03g031350	synteny	high	1	1	0.68	5	6	0	functional	functional	functional	functional
Sb03g031340	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031330	synteny	high	1	1	1	4	12	0.980789	functional	functional	functional	functional
Sb03g031320	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g031310	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g031300	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031290	synteny	high	1	1	1	5	12	0.960226	functional	functional	functional	functional
Sb03g031280	synteny	high	1	0.64	1	2	0	1	functional	functional	functional	functional
Sb03g031270	synteny	high	1	1	1	3	7	0.977993	functional	functional	functional	functional
Sb03g031260	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g031250	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031240	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031230	synteny	high	1	1	1	5	10	0.984366	functional	functional	functional	functional
Sb03g031220	synteny	high	1	1	0.79	4	12	1	functional	functional	functional	functional
Sb03g031225	synteny	high	1	1	1	3	8	1	functional	functional	functional	functional
Sb03g031210	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g031190	synteny	high	1	1	1	4	11	1	functional	functional	functional	functional
Sb03g031180	synteny	high	1	1	1	3	7	1	functional	functional	functional	functional
Sb03g031160	synteny	high	1	1	1	3	3	0.996243	functional	functional	functional	functional
Sb03g031170	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb03g031150	synteny	high	1	1	1	3	4	0	functional	functional	functional	functional
Sb03g031130	synteny	high	1	1	0	4	3	1	functional	functional	functional	functional
Sb03g031140	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g031110	synteny	high	1	1	1	5	12	0.993497	functional	functional	functional	functional
Sb03g031120	synteny	high	1	0.57	1	5	8	1	functional	functional	functional	functional
Sb03g031100	synteny	high	1	1	1	1	0	0.776292	functional	functional	functional	functional
Sb03g031090	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g031080	synteny	high	1	1	1	1	0	0.932302	functional	functional	functional	functional
Sb03g031073	synteny	high	1	0.7	1	1	0	0	functional	functional	functional	functional
Sb03g031076	synteny	high	1	1	1	1	0	0.0105634	functional	functional	functional	functional
Sb03g031070	synteny	high	1	0.32	1	1	0	1	functional	functional	functional	functional
Sb03g031040	synteny	high	0.859611	1	0	2	0	0.965443	functional	functional	functional	functional
Sb03g031050	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g031060	synteny	high	1	1	1	4	4	0.932802	functional	functional	functional	functional
Sb03g031030	synteny	high	1	1	1	5	1	1	functional	functional	functional	functional
Sb03g031020	synteny	high	1	1	1	4	4	1	functional	functional	functional	functional
Sb03g031010	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g031000	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g030997	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030995	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030990	synteny	high	1	1	1	3	5	1	functional	functional	functional	functional
Sb03g030960	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g030970	synteny	high	1	1	0.87	1	0	0.955135	functional	functional	functional	functional
Sb03g030950	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030940	synteny	high	1	1	1	4	1	1	functional	functional	functional	functional
Sb03g030930	synteny	high	1	0	1	3	6	1	functional	functional	functional	functional
Sb03g030925	synteny	high	1	1	0	3	4	1	functional	functional	functional	functional
Sb03g030920	synteny	high	1	0.89	0.89	3	6	1	functional	functional	functional	functional
Sb03g030900	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g030910	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g030890	synteny	high	1	1	1	3	8	1	functional	functional	functional	functional
Sb03g030880	synteny	high	1	1	0	3	2	1	functional	functional	functional	functional
Sb03g030870	synteny	high	1	1	1	4	11	1	functional	functional	functional	functional
Sb03g030850	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030860	synteny	high	1	1	1	5	5	0.910926	functional	functional	functional	functional
Sb03g030840	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030830	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb03g030820	synteny	high	1	1	1	3	5	1	functional	functional	functional	functional
Sb03g030810	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g030800	synteny	high	1	1	0	3	7	1	functional	functional	functional	functional
Sb03g030782	synteny	high	1	1	0	3	3	0.983762	functional	functional	functional	functional
Sb03g030785	synteny	high	0.978207	0	0	4	9	0.966694	functional	functional	functional	functional
Sb03g030770	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g030760	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030750	synteny	high	1	1	1	4	3	1	functional	functional	functional	functional
Sb03g030740	synteny	high	1	1	1	5	3	1	functional	functional	functional	functional
Sb03g030730	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030720	synteny	high	1	1	0	2	0	1	functional	functional	functional	functional
Sb03g030710	synteny	high	1	1	0	2	0	1	functional	functional	functional	functional
Sb03g030700	synteny	high	1	1	0	3	3	1	functional	functional	functional	functional
Sb03g030690	synteny	high	1	1	1	5	10	1	functional	functional	functional	functional
Sb03g030670	synteny	high	1	1	0	4	12	0.91522	functional	functional	functional	functional
Sb03g030680	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb03g030660	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030650	synteny	high	1	1	1	3	6	1	non	non	functional	non
Sb03g030635	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g030600	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030610	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g030620	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030590	synteny	high	1	1	1	3	6	0.933789	functional	functional	functional	functional
Sb03g030580	synteny	high	1	1	0.48	4	3	1	functional	functional	functional	functional
Sb03g030570	synteny	high	1	1	0.92	5	4	1	functional	functional	functional	functional
Sb03g030560	synteny	high	1	1	0	3	6	1	functional	functional	functional	functional
Sb03g030540	synteny	high	1	1	0.02	3	6	1	functional	functional	functional	functional
Sb03g030550	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g030530	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030520	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030470	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g030480	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030460	synteny	high	1	1	1	3	9	0.890367	functional	functional	functional	functional
Sb03g030450	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030400	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g030390	synteny	high	1	1	0	3	7	1	functional	functional	functional	functional
Sb03g030380	synteny	high	1	1	0	3	4	1	functional	functional	functional	functional
Sb03g030360	synteny	high	1	1	0	5	10	0.980571	functional	functional	functional	functional
Sb03g030370	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030350	synteny	high	1	1	1	5	5	0.982222	functional	functional	functional	functional
Sb03g030330	synteny	high	1	0	0	4	1	1	functional	functional	functional	functional
Sb03g030340	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g030280	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030300	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030310	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g030270	synteny	high	1	1	1	5	8	1	functional	functional	functional	functional
Sb03g030260	synteny	high	1	1	1	3	1	1	functional	functional	non	functional
Sb03g030250	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030230	synteny	high	1	1	0	4	10	1	non	non	non	non
Sb03g030240	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g030210	synteny	high	1	1	0.36	4	4	0.937394	functional	functional	functional	functional
Sb03g030220	synteny	high	1	1	1	3	10	1	functional	functional	functional	functional
Sb03g030190	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb03g030200	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g030180	synteny	high	1	1	1	1	0	0.557855	functional	functional	functional	functional
Sb03g030160	synteny	high	1	1	1	2	0	0.531011	functional	functional	functional	functional
Sb03g030170	synteny	high	1	1	0	1	0	0	functional	functional	functional	functional
Sb03g030110	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030100	synteny	high	1	1	1	5	9	0.922363	functional	functional	functional	functional
Sb03g030080	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g030090	synteny	high	1	1	1	4	6	1	functional	functional	functional	functional
Sb03g030060	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g030040	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb03g030050	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g030020	synteny	high	1	1	1	4	12	0.77026	functional	functional	functional	functional
Sb03g030030	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g030010	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g029990	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029960	synteny	high	1	1	1	5	6	1	functional	functional	functional	functional
Sb03g029970	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029950	synteny	high	1	1	0	1	0	0.883163	functional	functional	functional	functional
Sb03g029940	synteny	high	0.641328	1	0	1	0	0.448708	functional	functional	functional	functional
Sb03g029920	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g029930	synteny	high	1	0	1	5	7	1	functional	functional	functional	functional
Sb03g029890	synteny	high	1	1	1	4	2	1	functional	functional	functional	functional
Sb03g029880	synteny	high	1	1	1	5	12	0.958128	functional	functional	functional	functional
Sb03g029870	synteny	high	1	1	1	5	7	1	functional	functional	functional	functional
Sb03g029860	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g029850	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g029830	synteny	high	1	1	1	5	4	0.914378	functional	functional	functional	functional
Sb03g029840	synteny	high	1	1	1	5	12	0.907132	functional	functional	functional	functional
Sb03g029800	synteny	high	1	0	0	3	3	1	functional	functional	functional	functional
Sb03g029790	synteny	high	1	1	1	4	8	1	functional	functional	functional	functional
Sb03g029780	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb03g029760	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029770	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029740	synteny	high	1	1	1	4	10	1	functional	functional	functional	functional
Sb03g029720	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g029730	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029700	synteny	high	1	1	1	5	5	1	non	non	functional	non
Sb03g029690	synteny	high	1	1	1	3	1	0.999518	functional	functional	non	functional
Sb03g029680	synteny	high	0.860434	1	0	4	1	0.951284	functional	functional	functional	functional
Sb03g029660	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g029650	synteny	high	1	1	1	3	3	0.994885	functional	functional	functional	functional
Sb03g029640	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g029630	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029620	synteny	high	1	1	0	1	0	1	functional	functional	functional	functional
Sb03g029610	synteny	high	1	0.49	0.51	1	0	1	functional	functional	functional	functional
Sb03g029600	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g029590	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g029570	synteny	high	1	1	1	5	12	0.977504	functional	functional	functional	functional
Sb03g029580	synteny	high	1	1	0.01	4	5	1	functional	functional	functional	functional
Sb03g029565	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029540	synteny	high	1	1	1	4	8	0.650051	functional	functional	functional	functional
Sb03g029550	synteny	high	1	1	1	2	0	0.976269	functional	functional	functional	functional
Sb03g029530	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g029520	synteny	high	1	1	1	3	1	1	functional	functional	non	functional
Sb03g029490	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb03g029510	synteny	high	1	1	1	3	8	1	functional	functional	functional	functional
Sb03g029480	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g029470	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb03g029460	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb03g029440	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb03g029450	synteny	high	0.844077	1	0	5	8	0.813774	functional	functional	functional	functional
Sb03g029420	synteny	high	1	1	1	4	7	0.951965	functional	functional	functional	functional
Sb03g029400	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g029410	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029370	synteny	high	1	1	1	5	8	1	functional	functional	functional	functional
Sb03g029390	synteny	high	1	1	1	5	4	1	functional	functional	functional	functional
Sb03g029360	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029340	synteny	high	1	1	0	3	2	0.991386	functional	functional	functional	functional
Sb03g029330	synteny	high	1	1	1	4	2	1	functional	functional	functional	functional
Sb03g029290	synteny	high	1	1	1	5	5	1	functional	functional	functional	functional
Sb03g029300	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029310	synteny	high	1	1	1	3	4	0.952641	functional	functional	functional	functional
Sb03g029320	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029280	synteny	high	1	1	0	5	1	1	functional	functional	functional	functional
Sb03g029270	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029260	synteny	high	1	1	1	4	12	0.952177	functional	functional	functional	functional
Sb03g029240	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb03g029250	synteny	high	1	1	1	4	9	0.989105	functional	functional	functional	functional
Sb03g029220	synteny	high	1	1	1	2	0	0.999384	functional	functional	functional	functional
Sb03g029230	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029210	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029200	synteny	high	1	0	1	3	2	0.722449	functional	functional	functional	functional
Sb03g029190	synteny	high	1	1	1	5	8	0.940321	functional	functional	functional	functional
Sb03g029180	synteny	high	1	1	1	5	12	0.993904	functional	functional	functional	functional
Sb03g029160	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029170	synteny	high	0.96046	1	0	5	8	0.955897	functional	functional	functional	functional
Sb03g029090	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb03g029100	synteny	high	1	1	1	3	6	1	functional	functional	functional	functional
Sb03g029080	synteny	high	0.975133	1	0.5	3	1	0.875074	functional	functional	non	functional
Sb03g029070	synteny	high	1	1	1	2	0	0.87738	functional	functional	functional	functional
Sb03g029060	synteny	high	1	1	0	2	0	0.7904	functional	functional	functional	functional
Sb03g029050	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
